"Document ID","Title","Document Date","Author","Recipient","Source","Collection","Series","Box","Document Length","Image File Name","Genre"
"PJB:78","The Challenge of the Seventies, Remarks by Roy Wilkins at L.B. Johnson Library at the University of Texas: The Decade, 1960 - 1970","1972-12-11","Wilkins, Roy",,"Special Collections, University of Virginia Library","Papers of Julian Bond 1897-2006","Series I: Articles and Speeches by Julian Bond","Box 4 Folder 1",9,"PJB78_0001.tif | PJB78_0002.tif | PJB78_0003.tif | PJB78_0004.tif | PJB78_0005.tif | PJB78_0006.tif | PJB78_0007.tif | PJB78_0008.tif | PJB78_0009.tif","Speech"
"PJB:79","The Challenge of the Seventies, Remarks at L.B. Johnson Library at the University of Texas","1972-12-12","Bond, Julian",,"Special Collections, University of Virginia Library","Papers of Julian Bond 1897-2006","Series I: Articles and Speeches by Julian Bond","Box 4 Folder 1",23,"PJB79_0001.tif | PJB79_0002.tif | PJB79_0003.tif | PJB79_0004.tif | PJB79_0005.tif | PJB79_0006.tif | PJB79_0007.tif | PJB79_0008.tif | PJB79_0009.tif | PJB79_0010.tif | PJB79_0011.tif | PJB79_0012.tif | PJB79_0013.tif | PJB79_0014.tif | PJB79_0015.tif | PJB79_0016.tif | PJB79_0017.tif | PJB79_0018.tif | PJB79_0019.tif | PJB79_0020.tif | PJB79_0021.tif | PJB79_0022.tif | PJB79_0023.tif","Speech"
"PJB:80","Speech made before the Hungry Club [Forum, Atlanta, Georgia]","1972-01-01 to 1972-12-31","Bond, Julian",,"Special Collections, University of Virginia Library","Papers of Julian Bond 1897-2006","Series I: Articles and Speeches by Julian Bond","Box 4 Folder 2",12,"PJB80_0001.tif | PJB80_0002.tif | PJB80_0003.tif | PJB80_0004.tif | PJB80_0005.tif | PJB80_0006.tif | PJB80_0007.tif | PJB80_0008.tif | PJB80_0009.tif | PJB80_0010.tif | PJB80_0011.tif | PJB80_0012.tif","Speech"
"PJB:81","Speech concerning black people and traditional difficulties delivered to the Racial Harmony Council, 1972 (1 of 2)","1972-01-01 to 1972-12-31","Bond, Julian",,"Special Collections, University of Virginia Library","Papers of Julian Bond 1897-2006","Series I: Articles and Speeches by Julian Bond","Box 4 Folder 4",16,"PJB81_0001.tif | PJB81_0002.tif | PJB81_0003.tif | PJB81_0004.tif | PJB81_0005.tif | PJB81_0006.tif | PJB81_0007.tif | PJB81_0008.tif | PJB81_0009.tif | PJB81_0010.tif | PJB81_0011.tif | PJB81_0012.tif | PJB81_0013.tif | PJB81_0014.tif | PJB81_0015.tif | PJB81_0016.tif","Speech"
"PJB:82","Speech concerning black people and traditional difficulties delivered to the Racial Harmony Council, 1972 (2 of 2)","1972-01-01 to 1972-12-31","Bond, Julian",,"Special Collections, University of Virginia Library","Papers of Julian Bond 1897-2006","Series I: Articles and Speeches by Julian Bond","Box 4 Folder 4",16,"PJB82_0001.tif | PJB82_0002.tif | PJB82_0003.tif | PJB82_0004.tif | PJB82_0005.tif | PJB82_0006.tif | PJB82_0007.tif | PJB82_0008.tif | PJB82_0009.tif | PJB82_0010.tif | PJB82_0011.tif | PJB82_0012.tif | PJB82_0013.tif | PJB82_0014.tif | PJB82_0015.tif | PJB82_0016.tif","Speech"
"PJB:83","Speech concerning black bankers and businesses, ca. 1972","1972-01-01 to 1972-12-31","Bond, Julian",,"Special Collections, University of Virginia Library","Papers of Julian Bond 1897-2006","Series I: Articles and Speeches by Julian Bond","Box 4 Folder 5",11,"PJB83_0001.tif | PJB83_0002.tif | PJB83_0003.tif | PJB83_0004.tif | PJB83_0005.tif | PJB83_0006.tif | PJB83_0007.tif | PJB83_0008.tif | PJB83_0009.tif | PJB83_0010.tif | PJB83_0011.tif","Speech"
"PJB:84","Speech concerning challenges facing the American black people and possible solutions, [ca. 1972]","1972-01-01 to 1972-12-31","Bond, Julian",,"Special Collections, University of Virginia Library","Papers of Julian Bond 1897-2006","Series I: Articles and Speeches by Julian Bond","Box 4 Folder 6",15,"PJB84_0001.tif | PJB84_0002.tif | PJB84_0003.tif | PJB84_0004.tif | PJB84_0005.tif | PJB84_0006.tif | PJB84_0007.tif | PJB84_0008.tif | PJB84_0009.tif | PJB84_0010.tif | PJB84_0011.tif | PJB84_0012.tif | PJB84_0013.tif | PJB84_0014.tif | PJB84_0015.tif","Speech"
"PJB:85","Speech from the Alabama Voter Education Project Tour concerning Young People and Politics, 1972","1972-01-01 to 1972-12-31","Bond, Julian",,"Special Collections, University of Virginia Library","Papers of Julian Bond 1897-2006","Series I: Articles and Speeches by Julian Bond","Box 4 Folder 3",11,"PJB85_0001.tif | PJB85_0002.tif | PJB85_0003.tif | PJB85_0004.tif | PJB85_0005.tif | PJB85_0006.tif | PJB85_0007.tif | PJB85_0008.tif | PJB85_0009.tif | PJB85_0010.tif | PJB85_0011.tif","Speech"
"PJB:86","Speech at Press Conference in Washington concerning the Vietnam War and the Bach Mai Hospital Emergency Fund, 1973 January 2 (1 of 2)","1973-01-02","Bond, Julian",,"Special Collections, University of Virginia Library","Papers of Julian Bond 1897-2006","Series I: Articles and Speeches by Julian Bond","Box 4 Folder 7",9,"PJB86_0001.tif | PJB86_0002.tif | PJB86_0003.tif | PJB86_0004.tif | PJB86_0005.tif | PJB86_0006.tif | PJB86_0007.tif | PJB86_0008.tif | PJB86_0009.tif","Speech"
"PJB:87","Speech at Press Conference in Washington concerning the Vietnam War and the Bach Mai Hospital Emergency Fund, 1973 January 2 (2 of 2)","1973-01-03","Bond, Julian",,"Special Collections, University of Virginia Library","Papers of Julian Bond 1897-2006","Series I: Articles and Speeches by Julian Bond","Box 4 Folder 7",9,"PJB87_0001.tif | PJB87_0002.tif | PJB87_0003.tif | PJB87_0004.tif | PJB87_0005.tif | PJB87_0006.tif | PJB87_0007.tif | PJB87_0008.tif | PJB87_0009.tif","Speech"
"PJB:88","Speech on the health of the United States education system, 1973 February 2","1973-02-02","Bond, Julian",,"Special Collections, University of Virginia Library","Papers of Julian Bond 1897-2006","Series I: Articles and Speeches by Julian Bond","Box 4 Folder 8",29,"PJB88_0001.tif | PJB88_0002.tif | PJB88_0003.tif | PJB88_0004.tif | PJB88_0005.tif | PJB88_0006.tif | PJB88_0007.tif | PJB88_0008.tif | PJB88_0009.tif | PJB88_0010.tif | PJB88_0011.tif | PJB88_0012.tif | PJB88_0013.tif | PJB88_0014.tif | PJB88_0015.tif | PJB88_0016.tif | PJB88_0017.tif | PJB88_0018.tif | PJB88_0019.tif | PJB88_0020.tif | PJB88_0021.tif | PJB88_0022.tif | PJB88_0023.tif | PJB88_0024.tif | PJB88_0025.tif | PJB88_0026.tif | PJB88_0027.tif | PJB88_0028.tif | PJB88_0029.tif","Speech"
"PJB:89","Speech at the National Urban League Meeting, Kansas City, Missouri, 1974 March 29 (1 of 2)","1973-03-29","Bond, Julian","National Urban League","Special Collections, University of Virginia Library","Papers of Julian Bond 1897-2006","Series I: Articles and Speeches by Julian Bond","Box 4 Folder 9",13,"PJB89_0001.tif | PJB89_0002.tif | PJB89_0003.tif | PJB89_0004.tif | PJB89_0005.tif | PJB89_0006.tif | PJB89_0007.tif | PJB89_0008.tif | PJB89_0009.tif | PJB89_0010.tif | PJB89_0011.tif | PJB89_0012.tif | PJB89_0013.tif","Speech"
"PJB:90","Speech at the National Urban League Meeting, Kansas City, Missouri, 1974 March 29 (2 of 2)","1973-03-29","Bond, Julian","National Urban League","Special Collections, University of Virginia Library","Papers of Julian Bond 1897-2006","Series I: Articles and Speeches by Julian Bond","Box 4 Folder 9",14,"PJB90_0001.tif | PJB90_0002.tif | PJB90_0003.tif | PJB90_0004.tif | PJB90_0005.tif | PJB90_0006.tif | PJB90_0007.tif | PJB90_0008.tif | PJB90_0009.tif | PJB90_0010.tif | PJB90_0011.tif | PJB90_0012.tif | PJB90_0013.tif | PJB90_0014.tif","Speech"
"PJB:91","Speech about the government's post-election attitude, 1973 May 8 (1 of 2)","1973-05-08","Bond, Julian",,"Special Collections, University of Virginia Library","Papers of Julian Bond 1897-2006","Series I: Articles and Speeches by Julian Bond","Box 4 Folder 10",10,"PJB91_0001.tif | PJB91_0002.tif | PJB91_0003.tif | PJB91_0004.tif | PJB91_0005.tif | PJB91_0006.tif | PJB91_0007.tif | PJB91_0008.tif | PJB91_0009.tif | PJB91_0010.tif","Speech"
