metadata_id, metadata_pid, genre, resource_type
1001,uva-lib:612592,Map,Cartographic
1002,uva-lib:617004,,Text
1003,uva-lib:616019,,Text
1005,uva-lib:602113,,Text
1006,uva-lib:617009,,Text
1007,uva-lib:601005,,Text
1008,uva-lib:606311,,Text
1009,uva-lib:611405,,Text
1010,uva-lib:611515,,Text
1011,uva-lib:612593,,Text
1012,uva-lib:612978,,Text
1013,uva-lib:613411,,Text
1014,uva-lib:613733,,Text
1015,uva-lib:614130,,Text
1016,uva-lib:614209,,Text
1017,uva-lib:614418,,Text
1018,uva-lib:729248,,Text
1019,uva-lib:614767,,Text
1020,uva-lib:615094,,Text
1021,uva-lib:617133,,Text
1023,uva-lib:615531,,Text
1026,uva-lib:618898,,Text
1027,uva-lib:616379,,Notated Music
1028,uva-lib:616380,,Notated Music
1031,uva-lib:616383,,Notated Music
1032,uva-lib:616384,,Notated Music
1033,uva-lib:616385,,Notated Music
1034,uva-lib:616386,,Notated Music
1035,uva-lib:616387,,Notated Music
1036,uva-lib:616388,,Notated Music
1037,uva-lib:616389,,Notated Music
1038,uva-lib:616390,,Notated Music
1039,uva-lib:616391,,Notated Music
1040,uva-lib:616392,,Notated Music
1041,uva-lib:616393,,Notated Music
1042,uva-lib:616394,,Notated Music
1044,uva-lib:616396,,Notated Music
1045,uva-lib:616397,,Text
1046,uva-lib:616398,,Text
1047,uva-lib:628507,,Text
1048,uva-lib:1002801,,Text
1049,uva-lib:1002802,,Text
1050,uva-lib:615725,,Text
1051,uva-lib:615736,,Text
1052,uva-lib:627116,,Text
1053,uva-lib:627106,,Text
1054,uva-lib:770512,,Text
1055,uva-lib:1002803,,Text
1056,uva-lib:1002804,,Text
1057,uva-lib:653195,,Text
1058,uva-lib:1038844,,Text
1059,uva-lib:1002805,,Text
1060,uva-lib:606287,,Text
1061,uva-lib:1002806,,Text
1062,uva-lib:1002807,,Text
1063,uva-lib:1002808,,Text
1064,uva-lib:1002809,,Text
1065,uva-lib:1002810,,Text
1066,uva-lib:1002811,,Text
1067,uva-lib:1002812,,Text
1068,uva-lib:1002813,,Text
1069,uva-lib:1002814,,Text
1070,uva-lib:1002815,,Text
1071,uva-lib:770703,,Text
1072,uva-lib:1002816,,Text
1073,uva-lib:626791,,Text
1074,uva-lib:1002817,,Text
1075,uva-lib:1002818,,Text
1076,uva-lib:1002819,,Text
1077,uva-lib:1002820,,Text
1078,uva-lib:1002821,,Text
1079,uva-lib:1002822,,Text
1080,uva-lib:1002823,,Text
1081,uva-lib:1002824,,Text
1082,uva-lib:1002825,,Text
1083,uva-lib:1002826,,Text
1084,uva-lib:1002827,,Text
1085,uva-lib:770707,,Text
1086,uva-lib:770708,,Text
1087,uva-lib:770705,,Text
1088,uva-lib:770706,,Text
1089,uva-lib:770709,,Text
1090,uva-lib:770710,,Text
1091,uva-lib:770704,,Text
1092,uva-lib:1002828,,Text
1093,uva-lib:770711,,Text
1094,uva-lib:610700,,Text
1095,uva-lib:770714,,Text
1096,uva-lib:770715,,Text
1097,uva-lib:770713,,Text
1098,uva-lib:770712,,Text
1099,uva-lib:770716,,Text
1100,uva-lib:770568,,Text
1120,uva-lib:1002829,Journal,Text
1121,uva-lib:1002830,,Text
1122,uva-lib:1002831,,Text
1123,uva-lib:770569,,Text
1124,uva-lib:770570,,Text
1125,uva-lib:770586,,Text
1126,uva-lib:1002832,,Text
1127,uva-lib:1002833,,Text
1128,uva-lib:1002834,,Text
1129,uva-lib:1002835,,Text
1130,uva-lib:1002836,,Text
1131,uva-lib:1002837,,Text
1132,uva-lib:1002838,,Text
1135,uva-lib:626793,,Text
1136,uva-lib:1002839,,Text
1137,uva-lib:1002840,,Text
1138,uva-lib:1002841,,Text
1139,uva-lib:1002842,,Text
1140,uva-lib:1002843,,Text
1141,uva-lib:616399,,Text
1142,uva-lib:1002844,,Text
1143,uva-lib:1002845,,Text
1144,uva-lib:1002846,,Text
1145,uva-lib:1002847,,Text
1146,uva-lib:1002848,,Text
1147,uva-lib:1002849,,Text
1148,uva-lib:1002850,,Text
1149,uva-lib:1002851,,Text
1150,uva-lib:1002852,,Text
1151,uva-lib:1002853,,Text
1152,uva-lib:1002854,,Text
1153,uva-lib:1002855,,Text
1154,uva-lib:1002856,,Text
1155,uva-lib:1002857,,Text
1156,uva-lib:1002858,,Text
1157,uva-lib:610690,,Text
1158,uva-lib:1002859,,Text
1159,uva-lib:1002860,,Text
1160,uva-lib:1002861,,Text
1161,uva-lib:1002862,,Text
1162,uva-lib:1002863,,Text
1163,uva-lib:1002864,,Text
1164,uva-lib:1002865,,Text
1165,uva-lib:1002866,,Text
1166,uva-lib:1002867,,Text
1167,uva-lib:606288,,Text
1168,uva-lib:717243,,Text
1169,uva-lib:1002868,,Text
1170,uva-lib:717245,,Text
1171,uva-lib:616400,,Text
1172,uva-lib:1002869,,Text
1173,uva-lib:1002870,,Text
1174,uva-lib:1002871,,Text
1175,uva-lib:616401,,Text
1176,uva-lib:616402,,Text
1177,uva-lib:1002872,,Text
1178,uva-lib:1002873,,Text
1179,uva-lib:1002874,,Text
1180,uva-lib:1002875,,Text
1181,uva-lib:1002876,,Text
1182,uva-lib:1002877,,Text
1183,uva-lib:1002878,,Text
1184,uva-lib:1002879,,Text
1185,uva-lib:1561743,,Text
1186,uva-lib:770571,,Text
1187,uva-lib:770572,,Text
1188,uva-lib:770573,,Text
1189,uva-lib:770574,,Text
1190,uva-lib:770575,,Text
1191,uva-lib:1002880,,Text
1192,uva-lib:1002881,,Text
1193,uva-lib:1002882,,Text
1194,uva-lib:1002883,,Text
1195,uva-lib:1002884,,Text
1196,uva-lib:1002885,,Text
1197,uva-lib:1002886,,Text
1198,uva-lib:1002887,,Text
1200,uva-lib:770577,,Text
1201,uva-lib:770578,,Text
1202,uva-lib:770576,,Text
1203,uva-lib:1002888,,Text
1204,uva-lib:1002889,,Text
1205,uva-lib:1002890,,Text
1206,uva-lib:1002891,,Text
1207,uva-lib:1002892,,Text
1208,uva-lib:1002893,,Text
1209,uva-lib:1002894,,Text
1210,uva-lib:1002895,,Text
1211,uva-lib:1002896,,Text
1212,uva-lib:1002897,,Text
1213,uva-lib:1002898,,Text
1214,uva-lib:1002899,,Text
1215,uva-lib:1002900,,Text
1216,uva-lib:1002901,,Text
1217,uva-lib:1002902,,Text
1218,uva-lib:1002903,,Text
1219,uva-lib:1002904,,Text
1220,uva-lib:701101,,Text
1221,uva-lib:1002905,,Text
1222,uva-lib:1002906,,Text
1223,uva-lib:1002907,,Text
1225,uva-lib:1002908,,Text
1226,uva-lib:1002909,,Text
1227,uva-lib:606289,,Text
1228,uva-lib:1002910,,Text
1229,uva-lib:1002911,,Text
1230,uva-lib:610691,,Text
1231,uva-lib:1002912,,Text
1232,uva-lib:1002913,,Text
1233,uva-lib:1002914,,Text
1234,uva-lib:1002915,,Text
1235,uva-lib:1002916,,Text
1236,uva-lib:1002917,,Text
1237,uva-lib:1002918,,Text
1238,uva-lib:1002919,,Text
1239,uva-lib:1002920,,Text
1240,uva-lib:1002921,,Text
1241,uva-lib:1002922,,Text
1242,uva-lib:1002923,,Text
1243,uva-lib:1002924,,Text
1245,uva-lib:1002925,,Text
1246,uva-lib:1002926,,Text
1247,uva-lib:627104,,Text
1248,uva-lib:1002927,,Text
1249,uva-lib:1002928,,Text
1250,uva-lib:1002929,,Text
1251,uva-lib:1002930,,Text
1252,uva-lib:1002931,,Text
1253,uva-lib:1002932,,Text
1254,uva-lib:770579,,Text
1255,uva-lib:770587,,Text
1256,uva-lib:770585,,Text
1257,uva-lib:770584,,Text
1258,uva-lib:770580,,Text
1259,uva-lib:1002933,,Text
1260,uva-lib:1002934,,Text
1261,uva-lib:1002935,,Text
1262,uva-lib:616404,,Text
1263,uva-lib:1002936,,Text
1264,uva-lib:1002937,,Text
1265,uva-lib:1002938,,Text
1266,uva-lib:1002939,,Text
1267,uva-lib:1002940,,Text
1268,uva-lib:610692,,Text
1269,uva-lib:606292,,Text
1270,uva-lib:1002941,,Text
1271,uva-lib:1002942,,Text
1272,uva-lib:1002943,,Text
1273,uva-lib:1002944,,Text
1274,uva-lib:1002945,,Text
1275,uva-lib:606290,,Text
1276,uva-lib:1002946,,Text
1277,uva-lib:1002947,,Text
1278,uva-lib:729249,,Text
1279,uva-lib:1002948,,Text
1280,uva-lib:1002949,,Text
1281,uva-lib:1002950,,Text
1282,uva-lib:1002951,,Text
1283,uva-lib:1002952,,Text
1284,uva-lib:1002953,,Text
1285,uva-lib:1002954,,Text
1286,uva-lib:1002955,,Text
1289,uva-lib:1002956,,Text
1290,uva-lib:1002957,,Text
1291,uva-lib:1002958,,Text
1292,uva-lib:1002959,,Text
1293,uva-lib:1002960,,Text
1294,uva-lib:1002961,,Text
1295,uva-lib:712062,,Text
1296,uva-lib:1002962,,Text
1297,uva-lib:1002963,,Text
1298,uva-lib:1002964,,Text
1299,uva-lib:1002965,,Text
1300,uva-lib:1002966,,Text
1302,uva-lib:1002967,,Text
1303,uva-lib:1002968,,Text
1304,uva-lib:1002969,,Text
1305,uva-lib:1002970,,Text
1306,uva-lib:1002971,,Text
1308,uva-lib:1002972,,Text
1309,uva-lib:1002973,,Text
1310,uva-lib:1002974,,Text
1311,uva-lib:1002975,,Text
1313,uva-lib:1002976,,Text
1314,uva-lib:1002977,,Text
1315,uva-lib:1002978,,Text
1316,uva-lib:1002979,,Text
1317,uva-lib:616406,,Text
1318,uva-lib:1002980,,Text
1319,uva-lib:1002981,,Text
1320,uva-lib:1002982,,Text
1321,uva-lib:1002983,,Text
1322,uva-lib:1002984,,Text
1323,uva-lib:1002985,,Text
1324,uva-lib:610703,,Notated Music
1325,uva-lib:610693,,Text
1326,uva-lib:842022,,Text
1327,uva-lib:606291,,Text
1328,uva-lib:606293,,Text
1329,uva-lib:610695,,Text
1330,uva-lib:610696,,Text
1331,uva-lib:610697,,Text
1332,uva-lib:610698,,Text
1333,uva-lib:627122,,Text
1334,uva-lib:610694,,Text
1335,uva-lib:1002986,,Text
1336,uva-lib:610702,,Notated Music
1337,uva-lib:627123,,Text
1338,uva-lib:610701,,Text
1339,uva-lib:1002987,,Text
1340,uva-lib:1002988,,Text
1341,uva-lib:1002989,,Text
1342,uva-lib:1002990,,Text
1343,uva-lib:616407,,Text
1344,uva-lib:1002991,,Text
1345,uva-lib:1002992,,Text
1346,uva-lib:1002993,,Text
1347,uva-lib:616408,,Text
1348,uva-lib:770581,,Text
1350,uva-lib:627121,,Text
1352,uva-lib:1002995,,Text
1353,uva-lib:1002996,,Text
1354,uva-lib:1002997,,Text
1355,uva-lib:1002998,,Text
1357,uva-lib:1002999,,Text
1358,uva-lib:1003000,,Text
1359,uva-lib:1003001,,Text
1360,uva-lib:1003002,,Text
1361,uva-lib:1003003,,Text
1362,uva-lib:1003004,,Text
1363,uva-lib:1003005,,Text
1364,uva-lib:1003006,,Text
1365,uva-lib:1003007,,Text
1369,uva-lib:1003008,,Text
1370,uva-lib:1003009,,Text
1371,uva-lib:1003010,,Text
1372,uva-lib:1003011,,Text
1373,uva-lib:1003012,,Text
1374,uva-lib:1003013,,Text
1375,uva-lib:1003014,,Text
1376,uva-lib:1003015,,Text
1377,uva-lib:627117,,Text
1379,uva-lib:1003016,,Text
1380,uva-lib:1003017,,Text
1381,uva-lib:1003018,,Text
1382,uva-lib:1003019,,Text
1383,uva-lib:1003020,,Text
1384,uva-lib:1003021,,Text
1385,uva-lib:1003022,,Text
1387,uva-lib:616410,,Text
1388,uva-lib:1003023,,Text
1389,uva-lib:1003024,,Text
1390,uva-lib:1003025,,Text
1391,uva-lib:627120,,Text
1392,uva-lib:610689,,Text
1394,uva-lib:1003026,,Text
1395,uva-lib:1003027,,Text
1396,uva-lib:1003028,,Text
1398,uva-lib:1003029,,Text
1401,uva-lib:1003030,,Text
1402,uva-lib:1003031,,Text
1403,uva-lib:1003032,,Text
1404,uva-lib:1003033,,Text
1405,uva-lib:1003034,,Text
1406,uva-lib:1003035,,Text
1407,uva-lib:627115,,Text
1408,uva-lib:1003036,,Text
1409,uva-lib:1003037,,Text
1410,uva-lib:1003038,,Text
1411,uva-lib:1003039,,Text
1412,uva-lib:1003040,,Text
1413,uva-lib:1003041,,Text
1414,uva-lib:1003042,,Text
1415,uva-lib:1003043,,Text
1416,uva-lib:1003044,,Text
1419,uva-lib:1003045,,Text
1421,uva-lib:1003046,,Text
1422,uva-lib:1003047,,Text
1423,uva-lib:1003048,,Text
1424,uva-lib:1003049,,Text
1425,uva-lib:770582,,Text
1426,uva-lib:1003050,,Text
1427,uva-lib:1003051,,Text
1428,uva-lib:1003052,,Text
1429,uva-lib:1003053,,Text
1430,uva-lib:1003054,,Text
1431,uva-lib:1003055,,Text
1432,uva-lib:1003056,,Text
1433,uva-lib:1003057,,Text
1434,uva-lib:1003058,,Text
1435,uva-lib:639218,,Text
1436,uva-lib:638555,,Text
1437,uva-lib:638554,,Text
1438,uva-lib:1003059,,Text
1439,uva-lib:1003060,,Text
1440,uva-lib:1003061,,Text
1441,uva-lib:1003062,,Text
1442,uva-lib:1003063,,Text
1443,uva-lib:1003064,,Text
1445,uva-lib:1003065,,Text
1446,uva-lib:1003066,,Text
1447,uva-lib:770583,,Text
1448,uva-lib:1003067,,Text
1449,uva-lib:1003068,,Text
1450,uva-lib:1003069,,Text
1451,uva-lib:1003070,,Text
1452,uva-lib:1003071,,Text
1453,uva-lib:1003072,,Text
1454,uva-lib:1003073,,Text
1455,uva-lib:1003074,,Text
1456,uva-lib:616411,,Text
1457,uva-lib:616429,,Text
1458,uva-lib:616432,,Text
1459,uva-lib:616433,,Text
1460,uva-lib:616434,,Text
1462,uva-lib:1003075,,Text
1463,uva-lib:1003076,,Text
1465,uva-lib:627124,,Text
1467,uva-lib:627118,,Text
1468,uva-lib:627119,,Text
1469,uva-lib:1003077,,Text
1470,uva-lib:1003078,,Text
1471,uva-lib:1003079,,Text
1472,uva-lib:1003080,,Text
1473,uva-lib:1003081,,Text
1475,uva-lib:1003082,,Text
1476,uva-lib:1003083,,Text
1477,uva-lib:1003084,,Text
1478,uva-lib:1003085,,Text
1479,uva-lib:1003086,,Text
1480,uva-lib:1003087,,Text
1481,uva-lib:1003088,,Text
1482,uva-lib:1003089,,Text
1483,uva-lib:1003090,,Text
1484,uva-lib:1003091,,Text
1485,uva-lib:1003092,,Text
1486,uva-lib:1003093,,Text
1487,uva-lib:1003094,,Text
1490,uva-lib:1003095,,Text
1491,uva-lib:1003096,,Text
1492,uva-lib:1003097,,Text
1493,uva-lib:1003098,,Text
1494,uva-lib:1003099,,Text
1495,uva-lib:1003100,,Text
1496,uva-lib:1003101,,Text
1497,uva-lib:1003102,,Text
1498,uva-lib:1003103,,Text
1499,uva-lib:1003104,,Text
1500,uva-lib:602707,,Text
1501,uva-lib:1003105,,Text
1502,uva-lib:1003106,,Text
1503,uva-lib:1003107,,Text
1504,uva-lib:777312,,Text
1506,uva-lib:1003108,,Text
1507,uva-lib:1003109,,Text
1508,uva-lib:1003110,,Text
1510,uva-lib:1003111,,Text
1511,uva-lib:1003112,,Text
1512,uva-lib:1003113,,Text
1513,uva-lib:1003114,,Text
1514,uva-lib:674324,,Text
1515,uva-lib:1003115,,Text
1516,uva-lib:1003116,,Text
1517,uva-lib:1003117,,Text
1518,uva-lib:1003118,,Text
1519,uva-lib:1003119,,Text
1520,uva-lib:1003120,,Text
1521,uva-lib:1003121,,Text
1522,uva-lib:1003122,,Text
1523,uva-lib:1003123,,Text
1524,uva-lib:1003124,,Text
1525,uva-lib:1003125,,Text
1526,uva-lib:1003126,,Text
1527,uva-lib:1003127,,Text
1528,uva-lib:1003128,,Text
1529,uva-lib:1003129,,Text
1530,uva-lib:1003130,,Text
1531,uva-lib:1003131,,Text
1532,uva-lib:1003132,,Text
1533,uva-lib:1003133,,Text
1534,uva-lib:1003134,,Text
1535,uva-lib:1003135,,Text
1536,uva-lib:1003136,,Text
1537,uva-lib:1003137,,Text
1538,uva-lib:1003138,,Text
1539,uva-lib:616436,,Text
1540,uva-lib:1003139,,Text
1541,uva-lib:1003140,,Text
1542,uva-lib:1003141,,Text
1543,uva-lib:1003142,,Text
1544,uva-lib:1003143,,Text
1545,uva-lib:1003144,,Text
1546,uva-lib:1003145,,Text
1547,uva-lib:1003146,,Text
1548,uva-lib:1003147,,Text
1549,uva-lib:1003148,,Text
1551,uva-lib:1003150,,Text
1552,uva-lib:616437,,Text
1553,uva-lib:1003151,,Text
1554,uva-lib:627128,,Text
1555,uva-lib:1003152,,Text
1556,uva-lib:1003153,,Text
1557,uva-lib:1003154,,Text
1558,uva-lib:1003155,,Text
1559,uva-lib:1003156,,Text
1560,uva-lib:1003157,,Text
1561,uva-lib:1003158,,Text
1562,uva-lib:1003159,,Text
1563,uva-lib:1003160,,Text
1564,uva-lib:1003161,,Text
1565,uva-lib:1003162,,Text
1566,uva-lib:1003163,,Text
1567,uva-lib:1003164,,Text
1568,uva-lib:770588,,Text
1570,uva-lib:1003165,,Text
1572,uva-lib:1003166,,Text
1573,uva-lib:1003167,,Text
1574,uva-lib:1003168,,Text
1575,uva-lib:727477,,Text
1576,uva-lib:1003169,,Text
1577,uva-lib:1003170,,Text
1578,uva-lib:1003171,,Text
1579,uva-lib:1003172,,Text
1580,uva-lib:1003173,,Text
1581,uva-lib:1003174,,Text
1583,uva-lib:1003175,,Text
1585,uva-lib:1003176,,Text
1586,uva-lib:1003177,,Text
1587,uva-lib:1003178,,Text
1588,uva-lib:1003179,,Text
1589,uva-lib:1003180,,Text
1590,uva-lib:616439,,Text
1591,uva-lib:1003181,,Cartographic
1592,uva-lib:1003182,,Text
1593,uva-lib:1003183,,Text
1594,uva-lib:1003184,,Text
1595,uva-lib:1003185,,Text
1596,uva-lib:1003186,,Text
1597,uva-lib:1003187,,Text
1599,uva-lib:1003188,,Text
1600,uva-lib:1003189,,Text
1601,uva-lib:627129,,Text
1602,uva-lib:1003190,,Text
1603,uva-lib:1003191,,Text
1604,uva-lib:1003192,,Text
1605,uva-lib:1003193,,Text
1606,uva-lib:1003194,,Text
1607,uva-lib:1003195,,Text
1608,uva-lib:1003196,,Text
1609,uva-lib:1003197,,Text
1610,uva-lib:1003198,,Text
