pbcoreIdentifier source=UVA,instantiationDuration
0003_1,0:36
0004_1,0:35
0005_1,0:31
0005_2,0:41
0006_1,0:20
0007_1,0:56
0008_1,1:00
0008_2,0:36
0009_1,0:40
0010_1,0:43
0010_2,0:16
0011_1,0:33
0011_2,0:30
0012_1,0:41
0012_2,0:38
0012_3,0:30
0013_1,0:25
0013_2,0:31
0014_1,0:38
0014_2,0:45
0014_3,
0015_1,0:48
0016_1,0:28
0016_2,1:13
0016_3,0:58
0017_1,2:30
0017_2,0:53
0018_1,0:51
0018_2,0:20
0019_1,1:35
0019_2,0:36
0020_1,0:46
0021_1,0:28
0021_2,0:31
0021_3,1:08
0022_1,0:26
0022_2,1:20
0023_1,0:58
0023_2,0:55
0024_1,0:53
0024_2,0:40
0025_1,1:15
0026_1,0:40
0026_2,0:43
0027_1,1:13
0027_2,0:50
0028_1,1:00
0028_2,0:30
0028_3,0:36
0029_1,1:16
0029_2,0:51
0030_1,0:31
0030_2,1:00
0031_1,1:08
0031_2,
0032_1,0:36
0032_2,0:25
0032_3,0:35
0033_1,0:43
0033_2,0:28
0034_1,0:45
0034_2,0:30
0034_3,1:06
0035_1,0:41
0036_1,0:45
0037_1,0:45
0038_1,0:33
0038_2,0:23
0039_1,1:28
0039_2,0:35
0040_1,0:36
0040_2,0:45
0041_1,0:26
0041_2,0:23
0041_3,0:35
0042_1,1:30
0042_2,1:18
0043_1,0:31
0043_2,0:28
0044_1,0:36
0044_2,0:48
0045_1,1:08
0045_2,1:13
0045_3,0:35
0046_1,0:35
0047_1,0:43
0047_2,0:43
0047_3,0:26
0047_4,0:30
0048_1,1:20
0048_2,0:21
0048_3,0:15
0048_4,0:38
0049_1,1:31
0050_1,0:26
0050_2,0:41
0050_3,1:13
0050_4,0:23
0051_1,0:45
0052_1,1:01
0052_2,0:46
0053_1,0:43
0053_2,0:35
0054_1,0:45
0054_2,1:55
0054_3,
0055_1,0:48
0056_1,0:33
0056_2,0:36
0057_1,0:33
0057_2,0:36
0058_1,1:03
0058_2,3:18
0059_1,0:40
0060_1,0:30
0060_2,0:43
0060_3,0:21
0061_1,0:33
0061_2,0:43
0062_1,0:35
0062_2,1:50
0063_1,0:36
0064_1,0:36
0064_2,0:23
0065_1,1:25
0065_2,0:48
0065_3,0:35
0066_1,0:45
0066_2,
0067_1,0:22
0067_2,0:42
0068_1,0:43
0068_2,0:50
0068_3,1:11
0069_1,1:01
0069_2,0:38
0069_3,0:18
0070_1,1:45
0071_1,0:30
0071_2,0:45
0072_1,0:43
0072_2,0:44
0073_1,1:08
0073_2,0:23
0073_3,0:37
0073_4,0:53
0074_1,2:42
0075_1,
0076_1,0:25
0077_1,0:35
0077_2,0:33
0077_3,0:20
0077_4,0:41
0078_1,0:41
0078_2,0:48
0079_1,0:32
0079_2,1:02
0080_1,0:58
0080_2,0:56
0081_1,0:53
0081_2,0:46
0081_3,0:28
0082_1,0:28
0082_2,0:33
0082_3,0:41
0083_1,0:45
0084_1,0:16
0084_2,0:12
0084_3,0:31
0084_4,0:37
0085_1,0:30
0085_2,1:50
0085_3,0:40
0085_4,0:40
0086_1,0:51
0086_2,0:41
0086_3,
0087_1,0:45
0087_2,1:01
0088_1,0:43
0088_2,0:31
0088_3,0:36
0089_1,1:23
0089_2,0:16
0089_3,0:43
0090_1,0:36
0090_2,0:45
0090_3,0:43
0091_1,0:45
0091_2,0:46
0091_3,0:58
0091_4,0:55
0092_1,1:03
0093_1,0:31
0093_2,0:30
0094_1,1:01
0094_2,0:31
0095_1,1:48
0095_2,0:36
0096_1,0:33
0096_2,0:20
0097_1,0:50
0097_2,0:27
0098_1,1:01
0098_2,
0098_4,
0099_1,0:40
0099_2,1:13
0099_3,
0100_1,1:35
0100_2,0:40
0100_3,0:40
0101_1,1:16
0101_2,1:08
0101_3,
0102_1,0:37
0102_2,0:41
0103_1,2:26
0104_1,1:25
0104_2,0:36
0104_3,0:51
0105_1,1:06
0106_1,0:30
0106_2,
0106_3,
0107_1,0:34
0108_1,0:36
0108_2,0:54
0109_1,1:23
0109_2,1:32
0110_1,1:05
0110_2,
0111_1,1:04
0111_2,0:39
0112_1,1:48
0112_2,
0113_1,0:51
0114_1,0:50
0114_2,1:03
0115_1,0:36
0115_2,0:35
0116_1,2:43
0117_1,1:35
0118_1,3:21
0118_2,
0119_1,1:09
0120_1,1:24
0121_1,1:27
0121_2,0:46
0121_3,0:30
0121_4,
0122_1,0:43
0122_2,0:43
0123_1,1:09
0124_1,1:26
0125_1,1:40
0126_1,1:49
0127_1,0:24
0127_2,1:08
0128_1,1:26
0129_1,1:28
0129_2,0:37
0130_1,2:10
0131_1,1:56
0132_1,0:57
0133_1,0:53
0134_1,0:33
0135_1,2:29
0136_1,1:01
0137_1,0:31
0138_1,0:26
0138_2,0:51
0139_1,0:59
0140_1,0:43
0141_1,1:17
0142_1,0:40
0143_1,0:43
0144_1,0:40
0144_2,0:30
0144_3,0:47
0145_1,0:47
0146_1,0:58
0147_1,1:09
0147_2,1:07
0148_1,1:23
0148_2,1:11
