"parent_id","value"
147415,"0023_1"
149675,"0026_3"
149681,"0026_4"
145696,"0048_3"
142567,"0054_3"
145718,"0065_1"
143446,"0085_4"
234925,"0122_1"
234932,"0122_2"
238373,"0318_1"
240576,"0427_1"
242259,"0429_1"
225124,"0435_1"
244803,"0441_1"
240663,"0443_3"
240694,"0446_1"
271191,"0511_2"
271266,"0527_1"
271318,"0528_2"
275499,"0528_3"
275506,"0528_4"
271362,"0529_3"
271409,"0531_2"
271456,"0533_1"
271590,"0536_3"
265103,"0564_4"
205887,"0632_4"
275654,"0651_1"
275914,"0690_4"
276048,"0702_1"
276056,"0702_2"
155093,"0703_1"
168998,"0710_2"
169024,"0712_1"
276147,"0716_2"
276155,"0717_1"
276163,"0718_3"
276171,"0721_1"
254754,"0745_1"
254775,"0745_3"
215520,"0775_3"
215602,"0777_3"
217950,"0779_1"
217958,"0779_2"
216725,"0781_1"
216733,"0781_2"
216741,"0781_3"
216749,"0781_4"
217980,"0785_1"
216869,"0788_1"
216877,"0788_2"
216939,"0790_1"
216973,"0795_1"
213334,"0805_2"
212308,"0807_3"
212341,"0808_3"
214445,"0812_1"
213454,"0814_1"
213462,"0814_2"
217099,"0815_2"
212432,"0819_1"
212441,"0820_1"
212449,"0820_2"
211130,"0822_2"
212498,"0826_1"
212519,"0826_3"
276192,"0829_1"
276345,"0956_1"
228983,"0981_1"
276360,"1017_1"
228191,"1018_2"
236324,"1025_1"
262886,"1032_1"
265405,"1037_2"
273485,"1069_1"
273982,"1084_3"
273990,"1084_4"
274108,"1088_3"
262177,"1246_1"
262340,"1263_3"
263295,"1278_1"
140676,"1289_1"
134521,"1309_2"
276496,"1310_1"
276529,"1312_3"
276579,"1336_1"
192280,"1405_4"
192817,"1422_2"
276625,"1459_2"
197980,"1467_1"
257821,"1660_1"
265952,"1719_2"
121933,"1783_2"
277071,"1846_1"
120068,"2004_1"
277379,"2088_2"
277387,"2088_3"
210648,"2185_1"
199598,"2197_1"
257964,"2207_3"
255134,"2210_3"
258036,"2214_1"
258123,"2216_2"
258961,"2220_1"
259424,"2229_1"
258256,"2254_1"
258361,"2257_2"
210698,"2273_1"
213741,"2473_2"
215983,"2476_1"
220419,"2481_2"
216027,"2517_2"
207175,"2530_2"
